Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KOTAKNIFTY,EQ,03-Jan-2023,193.64,195,195,192.98,194.01,194.07,193.75,20122,"38,98,661.63",338,8592,42.7
KOTAKNIFTY,EQ,04-Jan-2023,194.07,205.46,205.46,191.96,192.46,192.33,192.67,67986,"1,30,98,707.11",443,16223,23.86
KOTAKNIFTY,EQ,05-Jan-2023,192.33,193.31,193.32,191.01,192.18,191.55,191.84,23638,"45,34,722.30",452,12094,51.16
KOTAKNIFTY,EQ,06-Jan-2023,191.55,192.2,192.2,190,191.4,190.93,191.09,27268,"52,10,576.62",498,21905,80.33
KOTAKNIFTY,EQ,09-Jan-2023,190.93,193.99,193.99,191.21,192.75,192.62,192.36,23962,"46,09,332.62",527,16016,66.84
KOTAKNIFTY,EQ,10-Jan-2023,192.62,192.6,192.6,190.5,191.37,191.23,191.48,26218,"50,20,174.42",576,14965,57.08
KOTAKNIFTY,EQ,11-Jan-2023,191.23,191.24,192,190.11,191.25,191.14,191.21,24695,"47,21,869.36",398,10148,41.09
KOTAKNIFTY,EQ,12-Jan-2023,191.14,197,197,189.61,190.83,190.19,190.21,15604,"29,68,079.61",385,12942,82.94
KOTAKNIFTY,EQ,13-Jan-2023,190.19,190.94,191.93,189.28,191.08,191.17,190.72,12666,"24,15,677.56",321,9344,73.77
KOTAKNIFTY,EQ,16-Jan-2023,191.17,191.9,192.25,190.32,190.77,191.06,191.01,41840,"79,92,043.79",581,34693,82.92
KOTAKNIFTY,EQ,17-Jan-2023,191.06,191.19,192.54,190.95,191.85,191.98,191.31,56319,"1,07,74,191.61",334,40241,71.45
KOTAKNIFTY,EQ,18-Jan-2023,191.98,192.2,193.42,192.08,193.39,193.14,192.93,20149,"38,87,338.00",266,15236,75.62
KOTAKNIFTY,EQ,19-Jan-2023,193.14,192.98,193.12,192.4,192.66,192.65,192.63,17148,"33,03,161.05",216,15740,91.79
KOTAKNIFTY,EQ,20-Jan-2023,192.65,193.29,193.29,191.76,192.21,191.94,192.44,8622,"16,59,208.42",298,7267,84.28
KOTAKNIFTY,EQ,23-Jan-2023,191.94,192.11,193.66,192.11,192.8,193.15,193.12,25581,"49,40,154.33",327,23399,91.47
KOTAKNIFTY,EQ,24-Jan-2023,193.15,193.2,193.69,192.51,193.05,193.04,193.24,18594,"35,93,079.87",222,13490,72.55
KOTAKNIFTY,EQ,25-Jan-2023,193.04,192.91,192.91,190.61,191.51,191.23,191.37,47955,"91,77,312.71",473,30886,64.41
KOTAKNIFTY,EQ,27-Jan-2023,191.23,192,192,186.75,188.25,187.39,188.29,"1,43,106","2,69,44,930.31",1348,90026,62.91
KOTAKNIFTY,EQ,30-Jan-2023,187.39,187.39,190.6,186,188.47,188.32,187.58,31898,"59,83,281.64",717,22739,71.29
KOTAKNIFTY,EQ,31-Jan-2023,188.32,190,190,187.11,189.03,188.79,188.22,22688,"42,70,344.32",463,19280,84.98
KOTAKNIFTY,EQ,01-Feb-2023,188.79,188.89,191.63,186.05,187.2,187.71,188.58,34806,"65,63,870.05",637,20582,59.13
KOTAKNIFTY,EQ,02-Feb-2023,187.71,187.71,188.3,186.38,187.89,187.76,187.17,24848,"46,50,774.72",444,13002,52.33
KOTAKNIFTY,EQ,03-Feb-2023,187.76,188.12,190.44,187.31,189.4,189.86,189.16,54439,"1,02,97,762.22",380,47524,87.3
KOTAKNIFTY,EQ,06-Feb-2023,189.86,189.86,190.76,188.51,189.24,189.18,189.12,28667,"54,21,619.63",446,19683,68.66
KOTAKNIFTY,EQ,07-Feb-2023,189.18,189.69,189.9,188.11,188.8,188.83,188.88,20833,"39,34,933.30",354,13552,65.05
KOTAKNIFTY,EQ,08-Feb-2023,188.83,194.5,194.5,189.2,190.2,190.49,190.35,57843,"1,10,10,606.54",390,40695,70.35
KOTAKNIFTY,EQ,09-Feb-2023,190.49,190.3,191.04,189.36,190.85,190.46,190.55,12154,"23,16,000.70",299,7802,64.19
KOTAKNIFTY,EQ,10-Feb-2023,190.46,191.12,191.12,189.51,190.6,190.17,190.16,15133,"28,77,667.05",352,12126,80.13
KOTAKNIFTY,EQ,13-Feb-2023,190.17,190.52,190.75,189,189.8,189.84,189.66,39938,"75,74,804.98",385,30370,76.04
KOTAKNIFTY,EQ,14-Feb-2023,189.84,190.01,192.2,189.61,192,191.74,191.7,"5,59,407","10,72,36,167.73",893,"5,53,347",98.92
KOTAKNIFTY,EQ,15-Feb-2023,191.74,191.71,192.25,190.75,192.1,192.07,191.3,50832,"97,24,065.82",420,14077,27.69
KOTAKNIFTY,EQ,16-Feb-2023,192.07,192.07,193.5,192.06,192.06,192.35,192.61,19232,"37,04,190.07",353,14717,76.52
KOTAKNIFTY,EQ,17-Feb-2023,192.35,192.13,192.55,190.94,191.7,191.4,191.67,23378,"44,80,869.67",325,18731,80.12
KOTAKNIFTY,EQ,20-Feb-2023,191.4,193,193,190.41,190.87,190.79,191.42,14829,"28,38,596.90",440,11032,74.39
